YEAR,BUDGET_ON_EDUCATION,GDP,RATIO
1976,9314.0,1877587.0,0.496
1977,10568.0,2085951.0,0.507
1978,11625.0,2356571.0,0.49300000000000005
1979,13996.0,2632143.0,0.532
1980,15209.0,2862505.0,0.5309999999999999
1981,16752.0,3210956.0,0.522
1982,15374.0,3344991.0,0.45999999999999996
1983,15267.0,3638137.0,0.42
1984,15336.0,4040693.0,0.38
1985,18952.0,4346734.0,0.436
1986,17750.0,4590155.0,0.387
1987,19475.0,4870217.0,0.4
1988,20098.0,5252629.0,0.383
1989,22819.0,5657693.0,0.40299999999999997
1990,24549.0,5979589.0,0.411
1991,27360.0,6174043.0,0.443
1992,28685.0,6539299.0,0.439
1993,31324.0,6878718.0,0.455
1994,26881.0,7308755.0,0.368
1995,32245.0,7664060.0,0.42100000000000004
1996,29097.0,8100201.0,0.359
1997,33519.0,8608515.0,0.38899999999999996
1998,35298.0,9089168.0,0.388
1999,33643.0,9660624.0,0.348
2000,31816.0,10284779.0,0.309
2001,39734.0,10621824.0,0.374
2002,55838.0,10977514.0,0.509
2003,63001.0,11510670.0,0.547
2004,67161.0,12274928.0,0.547
2005,74476.0,13093726.0,0.569
2006,100019.0,13855888.0,0.722
2007,68265.0,14477635.0,0.47200000000000003
2008,65399.0,14718582.0,0.44400000000000006
2009,131891.0,14418739.0,0.915
2010,62911.0,14964372.0,0.42
2011,43628.0,15517926.0,0.281
2012,57458.0,16155255.0,0.356
2013,39495.0,16691517.0,0.23700000000000002
2014,55200.0,17393103.0,0.317
2015,87258.0,18120714.0,0.482
2016,76977.0,18624475.0,0.413
